Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11055,Saf-T-Liner C2 Jouley,Thomas Built,"",81,[],Electric,School Bus,Automatic
11263,Pro Spotter Electric,TICO,"","",[10602],Electric,Tractor,Automatic
11271,(various models),Utilimaster,"","",[],CNG - Compressed Natural Gas|Electric|Propane,Step Van,Automatic
11168,CX45E,Van Hool,"",Up to 60,[10575],Electric,Transit Bus,""
11264,TDX25E,Van Hool,"",Up to 75,[10575],Electric,Transit Bus,Automatic
11192,VNR Electric,Volvo,Volvo Two-speed I-Shift,"",[],Electric,Tractor,""
11237,VNR Electric - Class 7,Volvo,Volvo Two-speed I-Shift,"",[],Electric,Vocational/Cab Chassis,""
10848,W4 CC,Workhorse,"","",[10589],Electric,Vocational/Cab Chassis,Automatic
11265,W750,Workhorse,"","",[10589],Electric,Step Van,Automatic
11243,HDXT - Class 8,Xos,"","",[10603],Electric,Tractor,Automatic
11244,MDXT,Xos,"","",[10603],Electric,Vocational/Cab Chassis,Automatic
11245,SV,Xos,"","",[10617],Electric,Step Van,Automatic
